medium	description	compound	name
western_diet_gut	western_diet_gut	26dap__M	26dap__M
western_diet_gut	western_diet_gut	ac	ac
western_diet_gut	western_diet_gut	acgam	acgam
western_diet_gut	western_diet_gut	ala__L	ala__L
western_diet_gut	western_diet_gut	amp	amp
western_diet_gut	western_diet_gut	arab__L	arab__L
western_diet_gut	western_diet_gut	arg__L	arg__L
western_diet_gut	western_diet_gut	asn__L	asn__L
western_diet_gut	western_diet_gut	asp__L	asp__L
western_diet_gut	western_diet_gut	ca2	ca2
western_diet_gut	western_diet_gut	cgly	cgly
western_diet_gut	western_diet_gut	cl	cl
western_diet_gut	western_diet_gut	cobalt2	cobalt2
western_diet_gut	western_diet_gut	cu2	cu2
western_diet_gut	western_diet_gut	cys__L	cys__L
western_diet_gut	western_diet_gut	dcyt	dcyt
western_diet_gut	western_diet_gut	drib	drib
western_diet_gut	western_diet_gut	fe2	fe2
western_diet_gut	western_diet_gut	fe3	fe3
western_diet_gut	western_diet_gut	fol	fol
western_diet_gut	western_diet_gut	for	for
western_diet_gut	western_diet_gut	fru	fru
western_diet_gut	western_diet_gut	gam	gam
western_diet_gut	western_diet_gut	gln__L	gln__L
western_diet_gut	western_diet_gut	glu__L	glu__L
western_diet_gut	western_diet_gut	gly	gly
western_diet_gut	western_diet_gut	glyc	glyc
western_diet_gut	western_diet_gut	glyc3p	glyc3p
western_diet_gut	western_diet_gut	gua	gua
western_diet_gut	western_diet_gut	h	h
western_diet_gut	western_diet_gut	h2	h2
western_diet_gut	western_diet_gut	h2o	h2o
western_diet_gut	western_diet_gut	h2s	h2s
western_diet_gut	western_diet_gut	his__L	his__L
western_diet_gut	western_diet_gut	hxan	hxan
western_diet_gut	western_diet_gut	ile__L	ile__L
western_diet_gut	western_diet_gut	indole	indole
western_diet_gut	western_diet_gut	k	k
western_diet_gut	western_diet_gut	leu__L	leu__L
western_diet_gut	western_diet_gut	lys__L	lys__L
western_diet_gut	western_diet_gut	malt	malt
western_diet_gut	western_diet_gut	man	man
western_diet_gut	western_diet_gut	met__L	met__L
western_diet_gut	western_diet_gut	mg2	mg2
western_diet_gut	western_diet_gut	mn2	mn2
western_diet_gut	western_diet_gut	mnl	mnl
western_diet_gut	western_diet_gut	nac	nac
western_diet_gut	western_diet_gut	o2	o2
western_diet_gut	western_diet_gut	orn	orn
western_diet_gut	western_diet_gut	phe__L	phe__L
western_diet_gut	western_diet_gut	pheme	pheme
western_diet_gut	western_diet_gut	pheme	pheme
western_diet_gut	western_diet_gut	pi	pi
western_diet_gut	western_diet_gut	pro__L	pro__L
western_diet_gut	western_diet_gut	ptrc	ptrc
western_diet_gut	western_diet_gut	pydam	pydam
western_diet_gut	western_diet_gut	pydx	pydx
western_diet_gut	western_diet_gut	pydxn	pydxn
western_diet_gut	western_diet_gut	rib__D	rib__D
western_diet_gut	western_diet_gut	ribflv	ribflv
western_diet_gut	western_diet_gut	ser__L	ser__L
western_diet_gut	western_diet_gut	so4	so4
western_diet_gut	western_diet_gut	sucr	sucr
western_diet_gut	western_diet_gut	thm	thm
western_diet_gut	western_diet_gut	thm	thm
western_diet_gut	western_diet_gut	thr__L	thr__L
western_diet_gut	western_diet_gut	tre	tre
western_diet_gut	western_diet_gut	trp__L	trp__L
western_diet_gut	western_diet_gut	tyr__L	tyr__L
western_diet_gut	western_diet_gut	ura	ura
western_diet_gut	western_diet_gut	val__L	val__L
western_diet_gut	western_diet_gut	xyl__D	xyl__D
western_diet_gut	western_diet_gut	zn2	zn2
western_diet_gut	western_diet_gut	2obut	2obut
western_diet_gut	western_diet_gut	ade	ade
western_diet_gut	western_diet_gut	cit	cit
western_diet_gut	western_diet_gut	csn	csn
western_diet_gut	western_diet_gut	cytd	cytd
western_diet_gut	western_diet_gut	dad_2	dad_2
western_diet_gut	western_diet_gut	dgsn	dgsn
western_diet_gut	western_diet_gut	fum	fum
western_diet_gut	western_diet_gut	ocdca	ocdca
western_diet_gut	western_diet_gut	spmd	spmd
western_diet_gut	western_diet_gut	spmd	spmd
western_diet_gut	western_diet_gut	thymd	thymd
western_diet_gut	western_diet_gut	ttdca	ttdca
western_diet_gut	western_diet_gut	uri	uri
western_diet_gut	western_diet_gut	xan	xan
western_diet_gut	western_diet_gut	4abz	4abz
western_diet_gut	western_diet_gut	ddca	ddca
western_diet_gut	western_diet_gut	hdca	hdca
western_diet_gut	western_diet_gut	nmn	nmn
western_diet_gut	western_diet_gut	pnto__R	pnto__R
western_diet_gut	western_diet_gut	arab__D	arab__D
western_diet_gut	western_diet_gut	chol	chol
western_diet_gut	western_diet_gut	glcn	glcn
western_diet_gut	western_diet_gut	gthrd	gthrd
western_diet_gut	western_diet_gut	no2	no2
western_diet_gut	western_diet_gut	acnam	acnam
western_diet_gut	western_diet_gut	fuc__L	fuc__L
western_diet_gut	western_diet_gut	gal	gal
western_diet_gut	western_diet_gut	lcts	lcts
western_diet_gut	western_diet_gut	pullulan1200	pullulan1200
western_diet_gut	western_diet_gut	4hbz	4hbz
western_diet_gut	western_diet_gut	ncam	ncam
western_diet_gut	western_diet_gut	ocdcea	ocdcea
western_diet_gut	western_diet_gut	adn	adn
western_diet_gut	western_diet_gut	ala__D	ala__D
western_diet_gut	western_diet_gut	chor	chor
western_diet_gut	western_diet_gut	oxa	oxa
western_diet_gut	western_diet_gut	gthox	gthox
western_diet_gut	western_diet_gut	rmn	rmn
western_diet_gut	western_diet_gut	raffin	raffin
western_diet_gut	western_diet_gut	cellb	cellb
western_diet_gut	western_diet_gut	melib	melib
western_diet_gut	western_diet_gut	gsn	gsn
western_diet_gut	western_diet_gut	mobd	mobd
western_diet_gut	western_diet_gut	meoh	meoh
western_diet_gut	western_diet_gut	amylose300	amylose300
western_diet_gut	western_diet_gut	lmn30	lmn30
western_diet_gut	western_diet_gut	acmana	acmana
western_diet_gut	western_diet_gut	starch1200	starch1200
western_diet_gut	western_diet_gut	fald	fald
